,year,season,temp
445,2011,Winter,-3.71 
446,2011,Spring,8.01 
447,2011,Summer,20.67 
448,2011,Autumn,11.53 
449,2012,Winter,-0.98 
450,2012,Spring,10.26 
451,2012,Summer,20.97 
452,2012,Autumn,10.01 
453,2013,Winter,-3.73 
454,2013,Spring,7.48 
455,2013,Summer,20.84 
