,year,month,temp
898,1974,10,15.17 
899,1974,11,10.20 
900,1974,12,5.62 
901,1975,1,5.75 
902,1975,2,5.98 
903,1975,3,8.23 
904,1975,4,11.45 
905,1975,5,18.50 
906,1975,6,21.72 
907,1975,7,24.02 
908,1975,8,23.86 
909,1975,9,20.11 
910,1975,10,15.88 
911,1975,11,10.87 
912,1975,12,6.01 
913,1976,1,3.97 
914,1976,2,8.43 
915,1976,3,10.37 
916,1976,4,13.63 
917,1976,5,17.38 
918,1976,6,22.04 
919,1976,7,23.91 
920,1976,8,23.03 
921,1976,9,20.29 
922,1976,10,13.90 
923,1976,11,8.59 
924,1976,12,4.35 
925,1977,1,0.74 
926,1977,2,6.47 
927,1977,3,10.20 
928,1977,4,14.81 
929,1977,5,18.17 
930,1977,6,22.43 
931,1977,7,24.99 
932,1977,8,24.18 
933,1977,9,21.54 
934,1977,10,15.49 
935,1977,11,11.12 
936,1977,12,6.09 
937,1978,1,2.53 
938,1978,2,2.86 
939,1978,3,9.04 
940,1978,4,13.44 
941,1978,5,18.07 
942,1978,6,22.49 
943,1978,7,24.58 
944,1978,8,24.07 
945,1978,9,21.47 
946,1978,10,15.95 
947,1978,11,10.41 
948,1978,12,4.89 
949,1979,1,1.55 
950,1979,2,2.99 
951,1979,3,9.87 
952,1979,4,13.40 
953,1979,5,17.87 
954,1979,6,21.90 
955,1979,7,24.19 
956,1979,8,23.42 
957,1979,9,21.62 
958,1979,10,15.98 
959,1979,11,9.85 
960,1979,12,6.86 
961,1980,1,5.21 
962,1980,2,5.24 
963,1980,3,8.51 
964,1980,4,13.46 
965,1980,5,17.66 
966,1980,6,21.84 
967,1980,7,25.56 
968,1980,8,24.77 
969,1980,9,21.70 
970,1980,10,15.10 
971,1980,11,10.02 
972,1980,12,6.25 
973,1981,1,4.06 
974,1981,2,7.18 
975,1981,3,9.30 
976,1981,4,15.46 
977,1981,5,17.60 
978,1981,6,23.53 
979,1981,7,24.85 
980,1981,8,24.00 
981,1981,9,20.82 
982,1981,10,14.60 
983,1981,11,11.02 
984,1981,12,5.79 
985,1982,1,2.56 
986,1982,2,5.85 
987,1982,3,9.50 
988,1982,4,12.65 
989,1982,5,18.62 
990,1982,6,20.77 
991,1982,7,24.31 
992,1982,8,23.79 
